market,ticker,price,years_from,years_to,years_count,total_years,dividend_count,dividend_sum,dividend_min,dividend_max,annual_payout,yield_min,yield_max,yield_avg,fair_price_min,fair_price_max,fair_price_avg,price_score_min,price_score_max,price_score_avg,discount,discount_pct
TLN,SFG1T,1.01,2015,2019,5,5,7,1.25,0.1,0.3,0.25,9.9,29.7,24.75,1.67,5.0,4.17,1,1,1,0.7577937649880097,75.77937649880097
TLN,TPD1T,0.88,2022,2022,1,1,2,0.16,0.03,0.13,0.16,3.41,14.77,18.18,0.5,2.17,2.67,0,1,1,0.6704119850187267,67.04119850187267
VLN,NTU1L,3.059,2018,2018,1,1,1,0.52,0.52,0.52,0.52,17.0,17.0,17.0,8.67,8.67,8.67,1,1,1,0.6471741637831603,64.71741637831603
VLN,SNG1L,0.118,2017,2017,1,1,1,0.02,0.02,0.02,0.02,16.95,16.95,16.95,0.33,0.33,0.33,1,1,1,0.6424242424242425,64.24242424242425
VLN,UTR1L,0.67,2019,2019,1,1,1,0.1,0.1,0.1,0.1,14.93,14.93,14.93,1.67,1.67,1.67,1,1,1,0.5988023952095808,59.88023952095808
VLN,INR1L,2.16,2016,2022,7,7,7,2.07,0.01,1.55,0.3,0.46,71.76,13.69,0.17,25.83,5.0,0,1,1,0.568,56.8
VLN,KNF1L,0.23,2015,2021,7,7,7,0.19,0.0,0.05,0.03,0.0,21.74,11.8,0.0,0.83,0.5,0,1,1,0.54,54.0
VLN,APG1L,1.89,2015,2022,8,6,6,1.21,0.12,0.5,0.2,6.35,26.46,10.67,2.0,8.33,3.33,1,1,1,0.43243243243243246,43.24324324324324
RIG,GZE1R,8.0,2015,2022,8,8,11,6.39,0.13,0.93,0.8,1.63,11.63,9.98,2.17,15.5,13.33,0,1,1,0.39984996249062266,39.98499624906226
TLN,NCN1T,0.725,2015,2021,7,6,8,0.42,0.03,0.07,0.07,4.14,9.66,9.66,0.5,1.17,1.17,0,1,1,0.3803418803418803,38.034188034188034
VLN,AMG1L,1.25,2015,2022,8,6,6,0.72,0.03,0.33,0.12,2.4,26.4,9.6,0.5,5.5,2.0,0,1,1,0.375,37.5
VLN,PTR1L,0.526,2015,2020,6,5,5,0.25,0.02,0.07,0.05,3.8,13.31,9.51,0.33,1.17,0.83,0,1,1,0.3662650602409638,36.62650602409638
TLN,TSM1T,1.442,2019,2022,4,4,4,0.43,0.08,0.13,0.11,5.55,9.02,7.45,1.33,2.17,1.83,0,1,1,0.21202185792349731,21.20218579234973
TLN,LHV1T,3.25,2017,2022,6,6,6,1.4,0.15,0.4,0.23,4.62,12.31,7.18,2.5,6.67,3.83,0,1,1,0.1514360313315927,15.143603133159269
VLN,PZV1L,1.17,2015,2021,7,6,6,0.47,0.03,0.14,0.08,2.56,11.97,6.7,0.5,2.33,1.33,0,1,1,0.12030075187969935,12.030075187969935
VLN,GRG1L,0.754,2015,2022,8,7,7,0.37,0.02,0.12,0.05,2.65,15.92,7.01,0.33,2.0,0.83,0,1,1,0.09156626506024092,9.156626506024091
VLN,IVL1L,11.2,2020,2022,3,2,2,1.45,0.65,0.8,0.73,5.8,7.14,6.47,10.83,13.33,12.17,0,1,1,0.07970419063270343,7.970419063270342
TLN,TKM1T,9.65,2015,2022,8,8,8,4.96,0.4,0.73,0.62,4.15,7.56,6.42,6.67,12.17,10.33,0,1,1,0.0658276863504356,6.58276863504356
VLN,ZMP1L,1.81,2016,2019,4,4,4,0.45,0.08,0.15,0.11,4.42,8.29,6.22,1.33,2.5,1.83,0,1,1,0.010928961748633888,1.0928961748633887
